,elite_avg,best,Elite average windowed (50)
0,888,888,888
1,888,888,888
2,888,888,888
3,888,888,888
4,888,888,888
5,888,888,888
6,888,888,888
7,888,888,888
8,888,888,888
9,888,888,888
10,888,888,888
11,888,888,888
12,888,888,888
13,888,888,888
14,888,888,888
15,888,888,888
16,888,888,888
17,888,888,888
18,888,888,888
19,888,888,888
20,888,888,888
21,888,888,888
22,888,888,888
23,888,888,888
24,888,888,888
25,888,888,888
26,888,888,888
27,888,888,888
28,888,888,888
29,888,888,888
30,888,888,888
31,888,888,888
32,888,888,888
33,888,888,888
34,888,888,888
35,888,888,888
36,888,888,888
37,888,888,888
38,888,888,888
39,888,888,888
40,888,888,888
41,888,888,888
42,888,888,888
43,888,888,888
44,888,888,888
45,888,888,888
46,888,888,888
47,888,888,888
48,888,888,888
49,888,888,888
50,888,888,888
51,888,888,888
52,888,888,888
53,888,888,888
54,888,888,888
55,888,888,888
56,888,888,888
57,888,888,888
58,888,888,888
59,888,888,888
60,888,888,888
61,888,888,888
62,888,888,888
63,888,888,888
64,888,888,888
65,888,888,888
66,888,888,888
67,888,888,888
68,888,888,888
69,888,888,888
70,888,888,888
71,888,888,888
72,888,888,888
73,888,888,888
74,888,888,888
75,888,888,888
76,888,888,888
77,888,888,888
78,888,888,888
79,888,888,888
80,888,888,888
81,888,888,888
82,888,888,888
83,888,888,888
84,888,888,888
85,888,888,888
86,888,888,888
87,888,888,888
88,888,888,888
89,888,888,888
90,888,888,888
91,888,888,888
92,888,888,888
93,888,888,888
94,888,888,888
95,888,888,888
96,888,888,888
97,888,888,888
98,888,888,888
99,888,888,888
100,888,888,888
101,888,888,888
102,888,888,888
103,888,888,888
104,888,888,888
105,888,888,888
106,888,888,888
107,888,888,888
108,888,888,888
109,888,888,888
110,888,888,888
111,888,888,888
112,888,888,888
113,888,888,888
114,888,888,888
115,888,888,888
116,888,888,888
117,888,888,888
118,888,888,888
119,888,888,888
120,888,888,888
121,888,888,888
122,888,888,888
123,888,888,888
124,888,888,888
125,888,888,888
126,888,888,888
127,888,888,888
128,888,888,888
129,888,888,888
130,888,888,888
131,888,888,888
132,888,888,888
133,888,888,888
134,888,888,888
135,888,888,888
136,888,888,888
137,888,888,888
138,888,888,888
139,888,888,888
140,888,888,888
141,888,888,888
142,888,888,888
143,888,888,888
144,888,888,888
145,888,888,888
146,888,888,888
147,888,888,888
148,888,888,888
149,888,888,888
150,888,888,888
151,888,888,888
152,888,888,888
153,888,888,888
154,888,888,888
155,888,888,888
156,888,888,888
157,888,888,888
158,888,888,888
159,888,888,888
160,888,888,888
161,888,888,888
162,888,888,888
163,888,888,888
164,888,888,888
165,888,888,888
166,888,888,888
167,888,888,888
168,888,888,888
169,888,888,888
170,888,888,888
171,888,888,888
172,888,888,888
173,888,888,888
174,888,888,888
175,888,888,888
176,888,888,888
177,888,888,888
178,888,888,888
179,888,888,888
180,888,888,888
181,888,888,888
182,888,888,888
183,888,888,888
184,888,888,888
185,888,888,888
186,888,888,888
187,888,888,888
188,888,888,888
189,888,888,888
190,888,888,888
191,888,888,888
192,888,888,888
193,888,888,888
194,888,888,888
195,888,888,888
196,888,888,888
197,888,888,888
198,888,888,888
199,888,888,888
200,888,888,888
201,888,888,888
202,888,888,888
203,888,888,888
204,888,888,888
205,888,888,888
206,888,888,888
207,888,888,888
208,888,888,888
209,888,888,888
210,888,888,888
211,888,888,888
212,888,888,888
213,888,888,888
214,888,888,888
215,888,888,888
216,888,888,888
217,888,888,888
218,888,888,888
219,888,888,888
220,888,888,888
221,888,888,888
222,888,888,888
223,888,888,888
224,888,888,888
225,888,888,888
226,888,888,888
227,888,888,888
228,888,888,888
229,888,888,888
230,888,888,888
231,888,888,888
232,888,888,888
233,888,888,888
234,888,888,888
235,888,888,888
236,888,888,888
237,888,888,888
238,888,888,888
239,888,888,888
240,888,888,888
241,888,888,888
242,888,888,888
243,888,888,888
244,888,888,888
245,888,888,888
246,888,888,888
247,888,888,888
248,888,888,888
249,888,888,888
250,888,888,888
251,888,888,888
252,888,888,888
253,888,888,888
254,888,888,888
255,888,888,888
256,888,888,888
257,888,888,888
258,888,888,888
259,888,888,888
260,888,888,888
261,888,888,888
262,888,888,888
263,888,888,888
264,888,888,888
265,888,888,888
266,888,888,888
267,888,888,888
268,888,888,888
269,888,888,888
270,888,888,888
271,888,888,888
272,888,888,888
273,888,888,888
274,888,888,888
275,888,888,888
276,888,888,888
277,888,888,888
278,888,888,888
279,888,888,888
280,888,888,888
281,888,888,888
282,888,888,888
283,888,888,888
284,888,888,888
285,888,888,888
286,888,888,888
287,888,888,888
288,888,888,888
289,888,888,888
290,888,888,888
291,888,888,888
292,888,888,888
293,888,888,888
294,888,888,888
295,888,888,888
296,888,888,888
297,888,888,888
298,888,888,888
299,888,888,888
300,888,888,888
301,888,888,888
302,888,888,888
303,888,888,888
304,888,888,888
305,888,888,888
306,888,888,888
307,888,888,888
308,888,888,888
309,888,888,888
310,888,888,888
311,888,888,888
312,888,888,888
313,888,888,888
314,888,888,888
315,888,888,888
316,888,888,888
317,888,888,888
318,888,888,888
319,888,888,888
320,888,888,888
321,888,888,888
322,888,888,888
323,888,888,888
324,888,888,888
325,888,888,888
326,888,888,888
327,888,888,888
328,888,888,888
329,888,888,888
330,888,888,888
331,888,888,888
332,888,888,888
333,888,888,888
334,888,888,888
335,888,888,888
336,888,888,888
337,888,888,888
338,888,888,888
339,888,888,888
340,888,888,888
341,888,888,888
342,888,888,888
343,888,888,888
344,888,888,888
345,888,888,888
346,888,888,888
347,888,888,888
348,888,888,888
349,888,888,888
350,888,888,888
351,888,888,888
352,888,888,888
353,888,888,888
354,888,888,888
355,888,888,888
356,888,888,888
357,888,888,888
358,888,888,888
359,888,888,888
360,888,888,888
361,888,888,888
362,888,888,888
363,888,888,888
364,888,888,888
365,888,888,888
366,888,888,888
367,888,888,888
368,888,888,888
369,888,888,888
370,888,888,888
371,888,888,888
372,888,888,888
373,888,888,888
374,888,888,888
375,888,888,888
376,888,888,888
377,888,888,888
378,888,888,888
379,888,888,888
380,888,888,888
381,888,888,888
382,888,888,888
383,888,888,888
384,888,888,888
385,888,888,888
386,888,888,888
387,888,888,888
388,888,888,888
389,888,888,888
390,888,888,888
391,888,888,888
392,888,888,888
393,888,888,888
394,888,888,888
395,888,888,888
396,888,888,888
397,888,888,888
398,888,888,888
399,888,888,888
400,888,888,888
401,888,888,888
402,888,888,888
403,888,888,888
404,888,888,888
405,888,888,888
406,888,888,888
407,888,888,888
408,888,888,888
409,888,888,888
410,888,888,888
411,888,888,888
412,888,888,888
413,888,888,888
414,888,888,888
415,888,888,888
416,888,888,888
417,888,888,888
418,888,888,888
419,888,888,888
420,888,888,888
421,888,888,888
422,888,888,888
423,888,888,888
424,888,888,888
425,888,888,888
426,888,888,888
427,888,888,888
428,888,888,888
429,888,888,888
430,888,888,888
431,888,888,888
432,888,888,888
433,888,888,888
434,888,888,888
435,888,888,888
436,888,888,888
437,888,888,888
438,888,888,888
439,888,888,888
440,888,888,888
441,888,888,888
442,888,888,888
443,888,888,888
444,888,888,888
445,888,888,888
446,888,888,888
447,888,888,888
448,888,888,888
449,888,888,888
450,888,888,888
451,888,888,888
452,888,888,888
453,888,888,888
454,888,888,888
455,888,888,888
456,888,888,888
457,888,888,888
458,888,888,888
459,888,888,888
460,888,888,888
461,888,888,888
462,888,888,888
463,888,888,888
464,888,888,888
465,888,888,888
466,888,888,888
467,888,888,888
468,888,888,888
469,888,888,888
470,888,888,888
471,888,888,888
472,888,888,888
473,888,888,888
474,888,888,888
475,888,888,888
476,888,888,888
477,888,888,888
478,888,888,888
479,888,888,888
480,888,888,888
481,888,888,888
482,888,888,888
483,888,888,888
484,888,888,888
485,888,888,888
486,888,888,888
487,888,888,888
488,888,888,888
489,888,888,888
490,888,888,888
491,888,888,888
492,888,888,888
493,888,888,888
494,888,888,888
495,888,888,888
496,888,888,888
497,888,888,888
498,888,888,888
499,888,888,888
500,888,888,888
501,888,888,888
502,888,888,888
503,888,888,888
504,888,888,888
505,888,888,888
506,888,888,888
507,888,888,888
508,888,888,888
509,888,888,888
510,888,888,888
511,888,888,888
512,888,888,888
513,888,888,888
514,888,888,888
515,888,888,888
516,888,888,888
517,888,888,888
518,888,888,888
519,888,888,888
520,888,888,888
521,888,888,888
522,888,888,888
523,888,888,888
524,888,888,888
525,888,888,888
526,888,888,888
527,888,888,888
528,888,888,888
529,888,888,888
530,888,888,888
531,888,888,888
532,888,888,888
533,888,888,888
534,888,888,888
535,888,888,888
536,888,888,888
537,888,888,888
538,888,888,888
539,888,888,888
540,888,888,888
541,888,888,888
542,888,888,888
543,888,888,888
544,888,888,888
545,888,888,888
546,888,888,888
547,888,888,888
548,888,888,888
549,888,888,888
550,888,888,888
551,888,888,888
552,888,888,888
553,888,888,888
554,888,888,888
555,888,888,888
556,888,888,888
557,888,888,888
558,888,888,888
559,888,888,888
560,888,888,888
561,888,888,888
562,888,888,888
563,888,888,888
564,888,888,888
565,888,888,888
566,888,888,888
567,888,888,888
568,888,888,888
569,888,888,888
570,888,888,888
571,888,888,888
572,888,888,888
573,888,888,888
574,888,888,888
575,888,888,888
576,888,888,888
577,888,888,888
578,888,888,888
579,888,888,888
580,888,888,888
581,888,888,888
582,888,888,888
583,888,888,888
584,888,888,888
585,888,888,888
586,888,888,888
587,888,888,888
588,888,888,888
589,888,888,888
590,888,888,888
591,888,888,888
592,888,888,888
593,888,888,888
594,888,888,888
595,888,888,888
596,888,888,888
597,888,888,888
598,888,888,888
599,888,888,888
600,888,888,888
601,888,888,888
602,888,888,888
603,888,888,888
604,888,888,888
605,888,888,888
606,888,888,888
607,888,888,888
608,888,888,888
609,888,888,888
610,888,888,888
611,888,888,888
612,888,888,888
613,888,888,888
614,888,888,888
615,888,888,888
616,888,888,888
617,888,888,888
618,888,888,888
619,888,888,888
620,888,888,888
621,888,888,888
622,888,888,888
623,888,888,888
624,888,888,888
625,888,888,888
626,888,888,888
627,888,888,888
628,888,888,888
629,888,888,888
630,888,888,888
631,888,888,888
632,888,888,888
633,888,888,888
634,888,888,888
635,888,888,888
636,888,888,888
637,888,888,888
638,888,888,888
639,888,888,888
640,888,888,888
641,888,888,888
642,888,888,888
643,888,888,888
644,888,888,888
645,888,888,888
646,888,888,888
647,888,888,888
648,888,888,888
649,888,888,888
650,888,888,888
651,888,888,888
652,888,888,888
653,888,888,888
654,888,888,888
655,888,888,888
656,888,888,888
657,888,888,888
658,888,888,888
659,888,888,888
660,888,888,888
661,888,888,888
662,888,888,888
663,888,888,888
664,888,888,888
665,888,888,888
666,888,888,888
667,888,888,888
668,888,888,888
669,888,888,888
670,888,888,888
671,888,888,888
672,888,888,888
673,888,888,888
674,888,888,888
675,888,888,888
676,888,888,888
677,888,888,888
678,888,888,888
679,888,888,888
680,888,888,888
681,888,888,888
682,888,888,888
683,888,888,888
684,888,888,888
685,888,888,888
686,888,888,888
687,888,888,888
688,888,888,888
689,888,888,888
690,888,888,888
691,888,888,888
692,888,888,888
693,888,888,888
694,888,888,888
695,888,888,888
696,888,888,888
697,888,888,888
698,888,888,888
699,888,888,888
700,888,888,888
701,888,888,888
702,888,888,888
703,888,888,888
704,888,888,888
705,888,888,888
706,888,888,888
707,888,888,888
708,888,888,888
709,888,888,888
710,888,888,888
711,888,888,888
712,888,888,888
713,888,888,888
714,888,888,888
715,888,888,888
716,888,888,888
717,888,888,888
718,888,888,888
719,888,888,888
720,888,888,888
721,888,888,888
722,888,888,888
723,888,888,888
724,888,888,888
725,888,888,888
726,888,888,888
727,888,888,888
728,888,888,888
729,888,888,888
730,888,888,888
731,888,888,888
732,888,888,888
733,888,888,888
734,888,888,888
735,888,888,888
736,888,888,888
737,888,888,888
738,888,888,888
739,888,888,888
740,888,888,888
741,888,888,888
742,888,888,888
743,888,888,888
744,888,888,888
745,888,888,888
746,888,888,888
747,888,888,888
748,888,888,888
749,888,888,888
750,888,888,888
751,888,888,888
752,888,888,888
753,888,888,888
754,888,888,888
755,888,888,888
756,888,888,888
757,888,888,888
758,888,888,888
759,888,888,888
760,888,888,888
761,888,888,888
762,888,888,888
763,888,888,888
764,888,888,888
765,888,888,888
766,888,888,888
767,888,888,888
768,888,888,888
769,888,888,888
770,888,888,888
771,888,888,888
772,888,888,888
773,888,888,888
774,888,888,888
775,888,888,888
776,888,888,888
777,888,888,888
778,888,888,888
779,888,888,888
780,888,888,888
781,888,888,888
782,888,888,888
783,888,888,888
784,888,888,888
785,888,888,888
786,888,888,888
787,888,888,888
788,888,888,888
789,888,888,888
790,888,888,888
791,888,888,888
792,888,888,888
793,888,888,888
794,888,888,888
795,888,888,888
796,888,888,888
797,888,888,888
798,888,888,888
799,888,888,888
800,888,888,888
801,888,888,888
802,888,888,888
803,888,888,888
804,888,888,888
805,888,888,888
806,888,888,888
807,888,888,888
808,888,888,888
809,888,888,888
810,888,888,888
811,888,888,888
812,888,888,888
813,888,888,888
814,888,888,888
815,888,888,888
816,888,888,888
817,888,888,888
818,888,888,888
819,888,888,888
820,888,888,888
821,888,888,888
822,888,888,888
823,888,888,888
824,888,888,888
825,888,888,888
826,888,888,888
827,888,888,888
828,888,888,888
829,888,888,888
830,888,888,888
831,888,888,888
832,888,888,888
833,888,888,888
834,888,888,888
835,888,888,888
836,888,888,888
837,888,888,888
838,888,888,888
839,888,888,888
840,888,888,888
841,888,888,888
842,888,888,888
843,888,888,888
844,888,888,888
845,888,888,888
846,888,888,888
847,888,888,888
848,888,888,888
849,888,888,888
850,888,888,888
851,888,888,888
852,888,888,888
853,888,888,888
854,888,888,888
855,888,888,888
856,888,888,888
857,888,888,888
858,888,888,888
859,888,888,888
860,888,888,888
861,888,888,888
862,888,888,888
863,888,888,888
864,888,888,888
865,888,888,888
866,888,888,888
867,888,888,888
868,888,888,888
869,888,888,888
870,888,888,888
871,888,888,888
872,888,888,888
873,888,888,888
874,888,888,888
875,888,888,888
876,888,888,888
877,888,888,888
878,888,888,888
879,888,888,888
880,888,888,888
881,888,888,888
882,888,888,888
883,888,888,888
884,888,888,888
885,888,888,888
886,888,888,888
887,888,888,888
888,888,888,888
889,888,888,888
890,888,888,888
891,888,888,888
892,888,888,888
893,888,888,888
894,888,888,888
895,888,888,888
896,888,888,888
897,888,888,888
898,888,888,888
899,888,888,888
900,888,888,888
901,888,888,888
902,888,888,888
903,888,888,888
904,888,888,888
905,888,888,888
906,888,888,888
907,888,888,888
908,888,888,888
909,888,888,888
910,888,888,888
911,888,888,888
912,888,888,888
913,888,888,888
914,888,888,888
915,888,888,888
916,888,888,888
917,888,888,888
918,888,888,888
919,888,888,888
920,888,888,888
921,888,888,888
922,888,888,888
923,888,888,888
924,888,888,888
925,888,888,888
926,888,888,888
927,888,888,888
928,888,888,888
929,888,888,888
930,888,888,888
931,888,888,888
932,888,888,888
933,888,888,888
934,888,888,888
935,888,888,888
936,888,888,888
937,888,888,888
938,888,888,888
939,888,888,888
940,888,888,888
941,888,888,888
942,888,888,888
943,888,888,888
944,888,888,888
945,888,888,888
946,888,888,888
947,888,888,888
948,888,888,888
949,888,888,888
950,888,888,888
951,888,888,888
952,888,888,888
953,888,888,888
954,888,888,888
955,888,888,888
956,888,888,888
957,888,888,888
958,888,888,888
959,888,888,888
960,888,888,888
961,888,888,888
962,888,888,888
963,888,888,888
964,888,888,888
965,888,888,888
966,888,888,888
967,888,888,888
968,888,888,888
969,888,888,888
970,888,888,888
971,888,888,888
972,888,888,888
973,888,888,888
974,888,888,888
975,888,888,888
976,888,888,888
977,888,888,888
978,888,888,888
979,888,888,888
980,888,888,888
981,888,888,888
982,888,888,888
983,888,888,888
984,888,888,888
985,888,888,888
986,888,888,888
987,888,888,888
988,888,888,888
989,888,888,888
990,888,888,888
991,888,888,888
992,888,888,888
993,888,888,888
994,888,888,888
995,888,888,888
996,888,888,888
997,888,888,888
998,888,888,888
999,888,888,888
